scope,checkpoint,status,path,note
"current_hbb_nomosaic","n_cap2_s0_a2_best","available","/Users/yudongfang/Desktop/光sar/LADD/remote_snapshots/90_results_20260604_2133/root/mnt/dataY/ydf/projects/LADD_og/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_a2mu1e3_a2_e50_b64_s0_gpu6/weights/best.pt","HBB analyzer needed"
"current_hbb_nomosaic","n_cap2_s0_a2_last","available","/Users/yudongfang/Desktop/光sar/LADD/remote_snapshots/90_results_20260604_2133/root/mnt/dataY/ydf/projects/LADD_og/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s0_a2mu1e3_a2_e50_b64_s0_gpu6/weights/last.pt","HBB analyzer needed"
"current_hbb_nomosaic","n_cap2_s42_a2_best","available","/Users/yudongfang/Desktop/光sar/LADD/remote_snapshots/90_results_20260604_2133/root/mnt/dataY/ydf/projects/LADD_og/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s42_a2mu1e3_a2_e50_b64_s42_gpu4/weights/best.pt","HBB analyzer needed"
"current_hbb_nomosaic","n_cap2_s123_a2_best","available","/Users/yudongfang/Desktop/光sar/LADD/remote_snapshots/90_results_20260604_2133/root/mnt/dataY/ydf/projects/LADD_og/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11n/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11n_cap2_s123_a2mu1e3_a2_e50_b64_s123_gpu5/weights/best.pt","HBB analyzer needed"
"current_hbb_nomosaic","s_cap2_s0_a2_best","available","/Users/yudongfang/Desktop/光sar/LADD/remote_snapshots/90_results_20260604_2133/root/mnt/dataY/ydf/projects/LADD_og/runs_public/ogsod/hbb/formal_nomosaic_20260528/ladd/yolo11s/cap2/ladd_hbb_ogsod11n_formal_nomosaic_yolo11s_cap2_s0_a2mu1e3_a2_e50_b64_s0_gpu5/weights/best.pt","HBB analyzer needed"
"current_hbb_mosaic100","n_cap2_s0_a2_best","missing_locally","","results.csv present but weights not in local evidence package"
"current_hbb_mosaic100","n_cap2_s42_a2_best","missing_locally","","results.csv present but weights not in local evidence package"
"current_hbb_mosaic100","n_cap2_s123_a2_best","missing_locally","","results.csv present but weights not in local evidence package"
"old_sixiang_obb","MAINLINE_s0_A2_best_last","available","/Users/yudongfang/Desktop/光sar/LADD/analysis/server_results_20260428/runs/teacher_student_decomposition_kd_nrrl_teacher_u_aux_stagewise/sar_tskd_tuaux_MAINLINE_20260427_s0_repeat_a2_minimal_role_split_e100_b32_gpu0/weights/{best,last}.pt","old OBB analyzer applicable"
"old_sixiang_obb","D1_A2DET1_raw_weights","not_found_in_runs","","d1_data csv exists, raw run weights not found in copied runs directory"
