group_id,protocol,method,model,seeds,n_runs,best_mean,best_std,last_mean,baseline_best_mean,baseline_final_mean,best_gain_mean,final_gain_mean,best_final_drop_mean,statuses,notes
mosaic100_cap2_all3,mosaic100_close100,cap2 normal BN,n,"0,42,123",3,0.56601,0.0031,0.56333,0.54091,0.53836,0.0251,0.02497,0.00268,mosaic_cap2_s0:complete;mosaic_cap2_s42:complete;mosaic_cap2_s123:complete,三 seed 完整；历史最大、最稳定的相对增益之一。
mosaic100_legacy_all3,mosaic100_close100,legacy normal BN,n,"0,42,123",3,0.56631,0.00074,0.56259,0.54091,0.53836,0.0254,0.02423,0.00371,mosaic_legacy_s0:complete;mosaic_legacy_s42:complete;mosaic_legacy_s123:complete,三 seed 完整；与 cap2 接近，说明旧协议下方法收益稳。
nomosaic_cap2_no_bnfreeze_healthy2,formal_nomosaic_800,cap2 normal BN,n,"0,42",2,0.57541,0.00121,0.57398,0.55724,0.55286,0.01817,0.02113,0.00142,nomosaic_cap2_s0_a2mu:complete;nomosaic_cap2_s42_a2mu:complete,seed0/42 健康完整；seed123 normal BN 不健康，未计入该健康均值。
nomosaic_cap2_bnfreeze_all3,formal_nomosaic_800,cap2 BN-freeze,n,"0,42,123",3,0.57387,0.00161,0.57256,0.55859,0.55549,0.01528,0.01707,0.00131,nomosaic_cap2_s0_bnfreeze:complete;nomosaic_cap2_s42_bnfreeze:complete;nomosaic_cap2_s123_bnfreeze:complete,三 seed 完整稳定；相对增益低于 mosaic100。
nomosaic_original_seed0,formal_nomosaic_800,original normal BN,n,0,1,0.57821,0.0,0.57517,0.55654,0.55127,0.02167,0.0239,0.00304,nomosaic_original_s0:complete,no-mosaic n 单点最高，但不是 cap2 三 seed 闭环。
nomosaic_cap2_seed123_bstable,formal_nomosaic_800,cap2 normal BN B-stable,n,123,1,0.56161,0.0,0.52875,0.56128,0.56076,0.00033,-0.03201,0.03286,nomosaic_cap2_s123_bstable:late_regression,seed123 可跑满但 final 严重退化。
nomosaic_cap2_seed123_old_crash,formal_nomosaic_partial,cap2 normal BN old-B,n,123,1,0.52182,0.0,0.0,0.56128,0.56076,-0.03946,-0.56076,0.52182,nomosaic_cap2_s123_old_crash:nan_crash,seed123 旧 B 发生 NaN/collapse。
nomosaic_s_cap2_seed0_partial,formal_nomosaic_partial,s cap2 normal BN,s,0,1,0.63551,0.0,0.63527,0.62897,0.62233,0.00654,0.01294,0.00024,nomosaic_s_cap2_s0_a2mu:partial_positive,s 只有 no-mosaic 单边证据，不适合作 mosaic 对称比较。
nomosaic_s_cap2_seed0_bnfreeze,formal_nomosaic_800,s cap2 BN-freeze,s,0,1,0.63388,0.0,0.61759,0.62897,0.62233,0.00491,-0.00474,0.01629,nomosaic_s_cap2_s0_bnfreeze:late_regression,s full 800 best 正、final 负；无 mosaic 对称组。
nomosaic_m_cap2_seed0_abnormal,formal_nomosaic_partial,m cap2 normal BN,m,0,1,0.59796,0.0,0.52361,0.6558,0.64903,-0.05784,-0.12542,0.07435,nomosaic_m_cap2_s0_a2mu:abnormal_partial,m 从 B 入口已异常；无 mosaic 对称组。
